"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"70","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","sepal width",2.4,"cm"
"71","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","petal length",3.8,"cm"
"72","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","petal width",1.1,"cm"
"73","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","sepal length",4.5,"cm"
"74","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","sepal width",2.3,"cm"
"75","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","petal length",1.3,"cm"
"76","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","petal width",0.3,"cm"
"77","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","sepal length",5,"cm"
"78","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","sepal width",3.4,"cm"
"79","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","petal length",1.6,"cm"
"80","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","petal width",0.4,"cm"
"81","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","sepal length",6.4,"cm"
"82","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","sepal width",2.8,"cm"
"83","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","petal length",5.6,"cm"
"84","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","petal width",2.1,"cm"
"85","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","sepal length",5.1,"cm"
"86","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","sepal width",3.5,"cm"
"87","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","petal length",1.4,"cm"
"88","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","petal width",0.3,"cm"
"89","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","sepal length",6.8,"cm"
"90","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","sepal width",2.8,"cm"
"91","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","petal length",4.8,"cm"
"92","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","petal width",1.4,"cm"
"93","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","sepal length",4.9,"cm"
"94","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","sepal width",3,"cm"
"95","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","petal length",1.4,"cm"
"96","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","petal width",0.2,"cm"
"97","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","sepal length",5.4,"cm"
"98","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","sepal width",3.4,"cm"
"99","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","petal length",1.5,"cm"
"100","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","petal width",0.4,"cm"
"101","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","sepal length",6.1,"cm"
"102","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","sepal width",2.8,"cm"
"103","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","petal length",4.7,"cm"
"104","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","petal width",1.2,"cm"
"105","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","sepal length",6.3,"cm"
"106","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","sepal width",3.4,"cm"
"107","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","petal length",5.6,"cm"
"108","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","petal width",2.4,"cm"
"109","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","sepal length",7.2,"cm"
"110","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","sepal width",3.6,"cm"
"111","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","petal length",6.1,"cm"
"112","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","petal width",2.5,"cm"
"113","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal length",4.4,"cm"
"114","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal width",3.2,"cm"
"115","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal length",1.3,"cm"
"116","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal width",0.2,"cm"
"117","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal length",6.3,"cm"
"118","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal width",2.7,"cm"
"119","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","petal length",4.9,"cm"
"120","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","petal width",1.8,"cm"
"121","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","sepal length",4.4,"cm"
"122","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","sepal width",3,"cm"
"123","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","petal length",1.3,"cm"
"124","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","petal width",0.2,"cm"
"125","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","sepal length",5.4,"cm"
"126","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","sepal width",3.7,"cm"
"127","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","petal length",1.5,"cm"
"128","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","petal width",0.2,"cm"
"129","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","sepal length",4.8,"cm"
"130","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","sepal width",3.4,"cm"
"131","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","petal length",1.9,"cm"
"132","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","petal width",0.2,"cm"
"133","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","sepal length",5.5,"cm"
"134","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","sepal width",4.2,"cm"
"135","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","petal length",1.4,"cm"
"136","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","petal width",0.2,"cm"
"137","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","sepal length",5.3,"cm"
"138","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","sepal width",3.7,"cm"
"139","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","petal length",1.5,"cm"
"140","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","petal width",0.2,"cm"
"141","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","sepal length",4.6,"cm"
"142","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","sepal width",3.1,"cm"
"143","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","petal length",1.5,"cm"
"144","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","petal width",0.2,"cm"
"145","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","sepal length",6.3,"cm"
"146","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","sepal width",3.3,"cm"
"147","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","petal length",4.7,"cm"
"148","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","petal width",1.6,"cm"
"149","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","sepal length",6.7,"cm"
"150","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","sepal width",3.1,"cm"
"151","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","petal length",4.4,"cm"
"152","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","petal width",1.4,"cm"
"153","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","sepal length",5.9,"cm"
"154","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","sepal width",3.2,"cm"
"155","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","petal length",4.8,"cm"
"156","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","petal width",1.8,"cm"
"157","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","sepal length",6.5,"cm"
"158","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","sepal width",3.2,"cm"
"159","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","petal length",5.1,"cm"
"160","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","petal width",2,"cm"
"161","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","sepal length",6.4,"cm"
"162","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","sepal width",3.1,"cm"
"163","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","petal length",5.5,"cm"
"164","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","petal width",1.8,"cm"
"165","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","sepal length",6.3,"cm"
"166","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","sepal width",2.9,"cm"
"167","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","petal length",5.6,"cm"
"168","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","petal width",1.8,"cm"
"169","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","sepal length",6.1,"cm"
"170","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","sepal width",3,"cm"
"171","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","petal length",4.9,"cm"
"172","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","petal width",1.8,"cm"
"173","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","sepal length",5.8,"cm"
"174","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","sepal width",2.7,"cm"
"175","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","petal length",5.1,"cm"
"176","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","petal width",1.9,"cm"
"177","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","sepal length",6.5,"cm"
"178","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","sepal width",3,"cm"
"179","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","petal length",5.2,"cm"
"180","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","petal width",2,"cm"
"181","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","sepal length",4.7,"cm"
"182","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","sepal width",3.2,"cm"
"183","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","petal length",1.3,"cm"
"184","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","petal width",0.2,"cm"
"185","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","sepal length",5,"cm"
"186","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","sepal width",3.4,"cm"
"187","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","petal length",1.5,"cm"
"188","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","petal width",0.2,"cm"
"189","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","sepal length",4.8,"cm"
"190","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","sepal width",3.1,"cm"
"191","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","petal length",1.6,"cm"
"192","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","petal width",0.2,"cm"
"193","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","sepal length",5,"cm"
"194","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","sepal width",3.3,"cm"
"195","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","petal length",1.4,"cm"
"196","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","petal width",0.2,"cm"
"197","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","sepal length",5,"cm"
"198","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","sepal width",3.2,"cm"
"199","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","petal length",1.2,"cm"
"200","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","petal width",0.2,"cm"
"201","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","sepal length",4.6,"cm"
"202","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","sepal width",3.4,"cm"
"203","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","petal length",1.4,"cm"
"204","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","petal width",0.3,"cm"
"205","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","sepal length",5.2,"cm"
"206","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","sepal width",3.5,"cm"
"207","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","petal length",1.5,"cm"
"208","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","petal width",0.2,"cm"
"209","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","sepal length",6.3,"cm"
"210","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","sepal width",2.5,"cm"
"211","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","petal length",4.9,"cm"
"212","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","petal width",1.5,"cm"
"213","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","sepal length",6.3,"cm"
"214","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","sepal width",2.3,"cm"
"215","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","petal length",4.4,"cm"
"216","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","petal width",1.3,"cm"
"217","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","sepal length",5.6,"cm"
"218","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","sepal width",2.9,"cm"
"219","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","petal length",3.6,"cm"
"220","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","petal width",1.3,"cm"
"221","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","sepal length",5.7,"cm"
"222","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","sepal width",3,"cm"
"223","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","petal length",4.2,"cm"
"224","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","petal width",1.2,"cm"
"225","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","sepal length",4.9,"cm"
"226","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","sepal width",2.4,"cm"
"227","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","petal length",3.3,"cm"
"228","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","petal width",1,"cm"
"229","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","sepal length",5.8,"cm"
"230","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","sepal width",2.7,"cm"
"231","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","petal length",3.9,"cm"
"232","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","petal width",1.2,"cm"
"233","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","sepal length",6.5,"cm"
"234","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","sepal width",3,"cm"
"235","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","petal length",5.8,"cm"
"236","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","petal width",2.2,"cm"
"237","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","sepal length",6.3,"cm"
"238","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","sepal width",3.3,"cm"
"239","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","petal length",6,"cm"
"240","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","petal width",2.5,"cm"
"241","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","sepal length",5.1,"cm"
"242","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","sepal width",2.5,"cm"
"243","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","petal length",3,"cm"
"244","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","petal width",1.1,"cm"
"245","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","sepal length",4.6,"cm"
"246","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","sepal width",3.2,"cm"
"247","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","petal length",1.4,"cm"
"248","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","petal width",0.2,"cm"
"249","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","sepal length",6.7,"cm"
"250","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","sepal width",3.1,"cm"
"251","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","petal length",5.6,"cm"
"252","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","petal width",2.4,"cm"
"253","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","sepal length",5.8,"cm"
"254","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","sepal width",2.7,"cm"
"255","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","petal length",5.1,"cm"
"256","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","petal width",1.9,"cm"
"257","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","sepal length",5.1,"cm"
"258","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","sepal width",3.3,"cm"
"259","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","petal length",1.7,"cm"
"260","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","petal width",0.5,"cm"
"261","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","sepal length",5.1,"cm"
"262","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","sepal width",3.8,"cm"
"263","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","petal length",1.7,"cm"
"264","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","petal width",0.4,"cm"
"265","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","sepal length",7.7,"cm"
"266","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","sepal width",2.6,"cm"
"267","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","petal length",6.9,"cm"
"268","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","petal width",2.3,"cm"
"269","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","sepal length",4.3,"cm"
"270","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","sepal width",3,"cm"
"271","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","petal length",1.1,"cm"
"272","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","petal width",0.1,"cm"
"273","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","sepal length",4.9,"cm"
"274","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","sepal width",2.5,"cm"
"275","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","petal length",4.5,"cm"
"276","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","petal width",1.7,"cm"
"277","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","sepal length",4.9,"cm"
"278","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","sepal width",3.1,"cm"
"279","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","petal length",1.5,"cm"
"280","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","petal width",0.2,"cm"
"281","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","sepal length",6.7,"cm"
"282","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","sepal width",3,"cm"
"283","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","petal length",5.2,"cm"
"284","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","petal width",2.3,"cm"
"285","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","sepal length",7.7,"cm"
"286","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","sepal width",3.8,"cm"
"287","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","petal length",6.7,"cm"
"288","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","petal width",2.2,"cm"
"289","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","sepal length",4.8,"cm"
"290","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","sepal width",3,"cm"
"291","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","petal length",1.4,"cm"
"292","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","petal width",0.3,"cm"
"293","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","sepal length",6,"cm"
"294","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","sepal width",3,"cm"
"295","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","petal length",4.8,"cm"
"296","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","petal width",1.8,"cm"
"297","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","sepal length",6.9,"cm"
"298","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","sepal width",3.1,"cm"
"299","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","petal length",5.1,"cm"
"300","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","petal width",2.3,"cm"
